학교명,도로명주소,Latitude,Longitude
개원초등학교,서울특별시 강남구 선릉로 29,37.4813655,127.0590553
개일초등학교,서울특별시 강남구 개포로 401,37.4859589,127.0580194
개포초등학교,서울특별시 강남구 영동대로3길 45,37.50727,127.0639018
구룡초등학교,서울특별시 강남구 개포로 263,37.4807968,127.0519292
논현초등학교,서울특별시 강남구 강남대로120길 33,37.5082167,127.0263166
대곡초등학교,서울특별시 강남구 남부순환로 3022,37.4944062,127.0651765
대도초등학교,서울특별시 강남구 선릉로 209,37.4926976,127.0535224
대모초등학교,서울특별시 강남구 광평로20길 27,37.4811396,127.0862343
대왕초등학교,서울특별시 강남구 헌릉로618길 8,37.4644284,127.1055381
대진초등학교,서울특별시 강남구 개포로109길 74,37.4966858,127.0780444
대청초등학교,서울특별시 강남구 양재대로55길 28,37.4928354,127.0879259
대치초등학교,서울특별시 강남구 양재천로 363,37.4909106,127.0622675
대현초등학교,서울특별시 강남구 역삼로98길 16,37.5035728,127.0638597
도곡초등학교,서울특별시 강남구 선릉로64길 33,37.4990608,127.0546706
도성초등학교,서울특별시 강남구 역삼로 313,37.5009074,127.0491834
봉은초등학교,서울특별시 강남구 학동로 610,37.52041,127.0608528
삼릉초등학교,서울특별시 강남구 봉은사로63길 22,37.512835,127.0470984
세명초등학교,서울특별시 강남구 자곡로 55,37.4686014,127.0909942
수서초등학교,서울특별시 강남구 광평로51길 46,37.4908423,127.101657
신구초등학교,서울특별시 강남구 압구정로18길 28,37.5231178,127.0241858
압구정초등학교,서울특별시 강남구 압구정로39길 29,37.5313997,127.0309069
양전초등학교,서울특별시 강남구 개포로 513,37.4904255,127.07003
언북초등학교,서울특별시 강남구 삼성로135길 42,37.5199691,127.0456266
언주초등학교,서울특별시 강남구 남부순환로363길 19,37.4865471,127.0371722
역삼초등학교,서울특별시 강남구 강남대로66길 21,37.4928011,127.0327832
영희초등학교,서울특별시 강남구 일원로 21,37.4919412,127.0812766
왕북초등학교,서울특별시 강남구 광평로 31길 74,37.4861747,127.0864664
율현초등학교,서울특별시 강남구 밤고개길로21길 15,37.4782653,127.1049674
일원초등학교,서울특별시 강남구 영동대로4길 20,37.4895034,127.0763998
자곡초등학교,서울특별시 강남구 자곡로 150,37.472101,127.0996175
청담초등학교,서울특별시 강남구 압구정로71길 9,37.5279801,127.0450373
포이초등학교,서울특별시 강남구 개포로22길 87,37.4755995,127.0523238
학동초등학교,서울특별시 강남구 선릉로115길 42,37.5120662,127.0398114
개원중학교,서울특별시 강남구 영동대로 101,37.4913769,127.0714248
개포중학교(2017.3.1 휴교),서울특별시 강남구 선릉로 9,37.4804726,127.0620792
구룡중학교,서울특별시 강남구 선릉로 103,37.4858999,127.0564272
단국대학교사범대학부속중학교,서울특별시 강남구 도곡로64길 21,37.496529,127.0564676
대명중학교,서울특별시 강남구 역삼로87길 26,37.5060559,127.061066
대왕중학교,서울특별시 강남구 광평로20길 7,37.4831335,127.0873945
대청중학교,서울특별시 강남구 양재천로 321,37.4901314,127.0585502
대치중학교,서울특별시 강남구 남부순환로378길 39,37.4841743,127.0477298
도곡중학교,서울특별시 강남구 언주로57길 31,37.4924854,127.0450824
봉은중학교,서울특별시 강남구 영동대로128길 59,37.5190896,127.0627832
세곡중학교,서울특별시 강남구 자곡로 81,37.4718217,127.0922433
수서중학교,서울특별시 강남구 광평로59길 57,37.490992,127.1026306
숙명여자중학교,서울특별시 강남구 남부순환로 2807,37.4910237,127.0530476
신구중학교,서울특별시 강남구 압구정로36길 17,37.5270043,127.0322095
신사중학교,서울특별시 강남구 압구정로 123,37.5243401,127.0212559
언주중학교,서울특별시 강남구 선릉로116길 57,37.5141798,127.0468995
압구정중학교,서울특별시 강남구 압구정로 225,37.5298898,127.0330227
언북중학교,서울특별시 강남구 도산대로38길 27,37.5191189,127.0332439
역삼중학교,서울특별시 강남구 도곡로43길 10,37.4956492,127.0488665
은성중학교,서울특별시 강남구 남부순환로359길 36,37.4877477,127.0360047
중동중학교,서울특별시 강남구 일원로8길 37,37.4888128,127.0781895
진선여자중학교,서울특별시 강남구 일원로85길 27,37.4881652,127.0828815
청담중학교,서울특별시 강남구 압구정로61길 36,37.5288594,127.0453485
휘문중학교,서울특별시 강남구 역삼로 541,37.505133,127.0621203
국악학교,서울특별시 강남구 개포로22길 65,37.4761552,127.0513959
개포고등학교,서울특별시 강남구 개포로 402,37.484898,127.0591661
경기고등학교,서울특별시 강남구 영동대로 643,37.5165547,127.0559215
경기여자고등학교,서울특별시 강남구 삼성로 29,37.4867111,127.0659079
단국대학교사범대학부속고등학교,서울특별시 강남구 도곡로64길 21,37.496529,127.0564676
서울세종고등학교,서울특별시 강남구 광평로51길 36,37.4900118,127.1026172
숙명여자고등학교,서울특별시 강남구 남부순환로 2807,37.4910237,127.0530476
압구정고등학교,서울특별시 강남구 압구정로39길 20,37.5309035,127.0329026
영동고등학교,서울특별시 강남구 선릉로 742,37.5205993,127.0422861
은광여자고등학교,서울특별시 강남구 남부순환로359길 36,37.4877477,127.0360047
중동고등학교,서울특별시 강남구 일원로 7번지,37.4931224,127.0807538
중산고등학교,서울특별시 강남구 일원로14길 22,37.4854681,127.0807228
중앙대학교사범대학부속고등학교,서울특별시 강남구 선릉로 207,37.4920256,127.0519949
진선여자고등학교,서울특별시 강남구 선릉로85길 27,37.5017075,127.047566
청담고등학교,서울특별시 강남구 압구정로 419,37.5281729,127.0433932
현대고등학교,서울특별시 강남구 압구정로 127,37.5251235,127.022643
휘문고등학교,서울특별시 강남구 역삼로 541,37.505133,127.0621203
단국공업고등학교,서울특별시 강남구 도곡로64길 21,37.496529,127.0564676
대진디자인고등학교,서울특별시 강남구 광평로39길 93,37.4905725,127.0961778
서울로봇고등학교,서울특별시 강남구 광평로20길 63,37.4806808,127.0843282
수도전기공업고등학교,서울특별시 강남구 개포로 410,37.4858037,127.0634758
국악고등학교,서울특별시 강남구 개포로22길 65,37.4761552,127.0513959
풍문고등학교 이전 개교(2017.3.2),서울특별시 강남구 자곡로 152,37.4713419,127.1006719