,금리년월일,금리
1,2018년 1월,3.47
2,2018년 2월,3.46
3,2018년 3월,3.45
4,2018년 4월,3.47
5,2018년 5월,3.49
6,2018년 6월,3.46
7,2018년 7월,3.44
8,2018년 8월,3.36
9,2018년 9월,3.29
10,2018년 10월,3.31
11,2018년 11월,3.28
12,2018년 12월,3.19
13,2019년 1월,3.12
14,2019년 2월,3.08
15,2019년 3월,3.04
16,2019년 4월,2.98
17,2019년 5월,2.93
18,2019년 6월,2.74
19,2019년 7월,2.64
20,2019년 8월,2.47
21,2019년 9월,2.51
22,2019년 10월,2.5
23,2019년 11월,2.45
24,2019년 12월,2.45
25,2020년 1월,2.51
26,2020년 2월,2.52
27,2020년 3월,2.48
28,2020년 4월,2.58
29,2020년 5월,2.52
30,2020년 6월,2.49
31,2020년 7월,2.45
32,2020년 8월,2.39
33,2020년 9월,2.44
34,2020년 10월,2.47
35,2020년 11월,2.56
36,2020년 12월,2.59
37,2021년 1월,2.63
38,2021년 2월,2.66
39,2021년 3월,2.73
40,2021년 4월,2.73
41,2021년 5월,2.69
42,2021년 6월,2.74
43,2021년 7월,2.81
44,2021년 8월,2.88
45,2021년 9월,3.01
46,2021년 10월,3.26
47,2021년 11월,3.51
48,2021년 12월,3.63
49,2022년 1월,3.85
50,2022년 2월,3.88
51,2022년 3월,3.84
52,2022년 4월,3.9
53,2022년 5월,3.9
54,2022년 6월,4.04
55,2022년 7월,4.16
56,2022년 8월,4.35
57,2022년 9월,4.79
58,2022년 10월,4.82
59,2022년 11월,4.74
60,2022년 12월,4.63